use,type,which,loga,a,b,n,rsq,minLen,maxLen,reason
yes,WBIC_YEAR,2334700_1990,-12.9593050338865,2.35421072830575e-06,3.23742232876109,130,0.977353179825947,256.54,736.6,
yes,WBIC_YEAR,2334700_1995,-13.0818729496932,2.08264268365224e-06,3.2371847909887,366,0.987092114471367,132.08,787.4,
yes,WBIC_YEAR,2338300_1995,-12.6454322827191,3.22224485066316e-06,3.16365407204775,350,0.979630986972188,96.52,609.6,
yes,WBIC_YEAR,2338300_1999,-10.2700224877207,3.46565960683998e-05,2.78660637981004,156,0.877016439473879,233.68,688.34,
yes,WBIC_YEAR,2339100_1992,-14.1519151077202,7.14334063682945e-07,3.40669167377971,235,0.960649423098079,284.48,762,
NO,WBIC_YEAR,2339100_2016,8.34855676460069,4224.08,NA,2,0,711.2,711.2,n< 25
yes,WBIC_YEAR,2339800_1995,-8.98703563566762,0.000125020149748169,2.58393221516192,117,0.87075830276748,381,736.6,
yes,WBIC_YEAR,2339900_2013,-11.0691265806003,1.55861699186034e-05,2.87805342843542,81,0.99498918523951,91.44,259.08,
yes,WBIC_YEAR,2340500_1991,-16.4006391693794,7.53863834281645e-08,3.78141345927459,102,0.967180768051227,248.92,683.26,
yes,WBIC_YEAR,2340700_1991,-15.7510312873995,1.44349082433186e-07,3.66595763018403,246,0.95278106375296,248.92,685.8,
yes,WBIC_YEAR,2340900_1991,-14.2235886258625,6.64926967345329e-07,3.41844212597771,56,0.94107275065811,302.26,660.4,
yes,WBIC_YEAR,2343200_1993,-14.450954990668,5.2970001998451e-07,3.47250325471591,128,0.926839858627904,218.44,622.3,
yes,WBIC_YEAR,2344000_1993,-14.3618202147298,5.79082886680914e-07,3.4476220571364,112,0.985573307331227,271.78,721.36,
yes,WBIC_YEAR,2351400_1995,-11.3558351796034,1.1701012521528e-05,2.93355626813412,649,0.920933194163554,132.08,642.62,
NO,WBIC_YEAR,2351400_2000,-15.6966873360611,1.52410646675105e-07,3.65403810880536,146,0.547526098519454,251.46,495.3,r^2< 0.85
yes,WBIC_YEAR,2351400_2008,-12.5818779097112,3.43368026064726e-06,3.15300361078661,306,0.974592641733008,152.4,670.56,
yes,WBIC_YEAR,2351400_2012,-13.5189828011335,1.3451798974098e-06,3.3157840247856,466,0.895577135717074,243.84,601.98,
yes,WBIC_YEAR,2351400_2016,-13.6519585832604,1.17768656350717e-06,3.34042735698401,302,0.943480302639541,259.08,728.98,
yes,WBIC_YEAR,2353600_2002,-10.4684480273638,2.84191305867122e-05,2.83168099029631,173,0.975457285074098,190.5,734.06,
yes,WBIC_YEAR,2390800_1988,-10.5541294199099,2.60855400063043e-05,2.85532374201909,514,0.864441464979742,330.2,703.58,
NO,WBIC_YEAR,2390800_1991,-12.0905061053482,5.61254602015039e-06,3.08855518013595,284,0.820818328303478,363.22,711.2,r^2< 0.85
NO,WBIC_YEAR,2390800_2001,-12.4158990982631,4.05362466429184e-06,3.13536738552723,4,0.988081648933081,391.16,652.78,n< 25
yes,WBIC_YEAR,2391200_1986,-11.9570447302996,6.41388920804627e-06,3.074808615914,312,0.934924641984558,320.04,647.7,
yes,WBIC_YEAR,2391200_1987,-12.035664556733,5.92894329831528e-06,3.04423733423915,158,0.960049297968071,81.28,327.66,
NO,WBIC_YEAR,2391200_1994,-15.296243167677,2.27470979875906e-07,3.57609607306042,520,0.842549213687222,304.8,609.6,r^2< 0.85
NO,WBIC_YEAR,2391200_2000,-11.7742598123443,7.70023421261676e-06,3.02293459578555,23,0.9559429822639,259.08,635,n< 25
yes,WBIC_YEAR,2392000_1987,-11.9477227469833,6.473958925688e-06,3.04807445213082,49,0.918232646308881,226.06,386.08,
NO,WBIC_YEAR,2392000_1993,-12.4397045063073,3.95826600425644e-06,3.12840974047696,133,0.765264353341987,304.8,764.54,r^2< 0.85
yes,WBIC_YEAR,2393200_1987,-11.4739180040726,1.03977824130027e-05,2.96572845495484,59,0.964889359962901,177.8,325.12,
yes,WBIC_YEAR,2393200_1991,-14.1745821282728,6.98324370272399e-07,3.42015532504885,208,0.917789310454722,304.8,678.18,
yes,WBIC_YEAR,2393500_1987,-12.5757152546726,3.4549061844527e-06,3.16958401922481,86,0.990200694216017,142.24,325.12,
