use,type,which,loga,a,b,n,rsq,minLen,maxLen,reason
NO,WBIC_YEAR,1600200_2000,-9.52387511047814,7.30858989616172e-05,2.6153860045853,14,0.509539732864108,259.08,347.98,n< 25
NO,WBIC_YEAR,1600300_1993,-13.356908119372,1.58186169059481e-06,3.28544558330034,21,0.900229778644141,266.7,589.28,n< 25
NO,WBIC_YEAR,1600300_2000,-12.9725466567197,2.3232426441126e-06,3.22338353453843,11,0.854938473896033,269.24,508,n< 25
yes,WBIC_YEAR,1602300_1991,-15.9303245661092,1.20655728449132e-07,3.69737114473894,258,0.969722339672047,116.84,772.16,
yes,WBIC_YEAR,1602600_1994,-16.2967409346296,8.36402532419266e-08,3.75539970268748,230,0.9660518587403,281.94,805.18,
yes,WBIC_YEAR,1603400_1993,-14.3343954016963,5.95183901088124e-07,3.44919244475155,73,0.928783897801429,248.92,721.36,
yes,WBIC_YEAR,1603700_1993,-14.2160368527162,6.69967352931736e-07,3.43317789562619,190,0.871148182506163,198.12,731.52,
NO,WBIC_YEAR,1603700_2000,-2.08512806110038,0.124291202278438,1.32450799325766,9,0.324404449762139,259.08,355.6,n< 25
yes,WBIC_YEAR,1603800_1993,-11.6110052148955,9.06576601454648e-06,3.01949972794218,209,0.915364762836506,246.38,688.34,
NO,WBIC_YEAR,1603800_2000,5.8940446434004,362.87,NA,2,0,347.98,347.98,n< 25
yes,WBIC_YEAR,1605200_1997,-13.0933064011999,2.05896649770448e-06,3.24927426800561,82,0.987725719416079,254,708.66,
yes,WBIC_YEAR,1605800_1992,-12.4522923527211,3.9087522493034e-06,3.15581254299603,206,0.965350875160427,276.86,746.76,
yes,WBIC_YEAR,1605800_1997,-12.3717352155032,4.23666050625218e-06,3.13782291016413,163,0.983954582010671,246.38,736.6,
yes,WBIC_YEAR,1609000_1994,-13.401269317856,1.51322213272679e-06,3.31645832960725,139,0.949484281220854,223.52,716.28,
yes,WBIC_YEAR,1609100_1994,-12.7344061811745,2.94793338321272e-06,3.19799595477722,244,0.92864239203938,226.06,665.48,
yes,WBIC_YEAR,1610500_1994,-12.2328681198212,4.86780169640963e-06,3.11244613313126,55,0.943802982102878,220.98,576.58,
yes,WBIC_YEAR,1610600_1994,-13.9540945325684,8.70590140737048e-07,3.39840388708464,190,0.981023636603352,220.98,695.96,
NO,WBIC_YEAR,1610600_2007,-12.8020085402863,2.75523301417975e-06,3.20636711467453,24,0.988144337219253,233.68,678.18,n< 25
yes,WBIC_YEAR,1610700_1994,-14.0844783568675,7.64167862295267e-07,3.41860776365099,249,0.970129727486731,170.18,721.36,
yes,WBIC_YEAR,1610700_2007,-12.9075750077285,2.4791990647081e-06,3.21914268760791,224,0.982634783088547,200.66,728.98,
yes,WBIC_YEAR,1610800_1994,-12.1724276689872,5.17108685058555e-06,3.10527832697373,26,0.98637263710132,231.14,736.6,
yes,WBIC_YEAR,1610800_2007,-12.474851735698,3.82156040526737e-06,3.15363837623761,44,0.98820638206274,198.12,629.92,
NO,WBIC_YEAR,1611700_1994,-19.5949564892469,3.09042724301473e-09,4.34322044978236,2,1,317.5,436.88,n< 25
yes,WBIC_YEAR,1611700_2007,-12.7558485446251,2.88539559921908e-06,3.1989398141013,43,0.967438130381348,198.12,711.2,
yes,WBIC_YEAR,1611800_1994,-13.2627463923578,1.73805064390849e-06,3.27770971107105,113,0.960440140167993,195.58,675.64,
yes,WBIC_YEAR,1612200_1994,-14.2658945642238,6.37383345426895e-07,3.44585365297496,175,0.96885563302498,175.26,751.84,
yes,WBIC_YEAR,1612200_2007,-13.3635436786969,1.57139990179971e-06,3.29600106607422,31,0.991932399770251,198.12,678.18,
yes,WBIC_YEAR,1612900_1994,-12.9604110139229,2.35160845753383e-06,3.23114360080184,175,0.963946358115336,185.42,744.22,
yes,WBIC_YEAR,1613000_1994,-13.2641894010603,1.73554443038278e-06,3.2844641282458,362,0.958938039389366,190.5,703.58,
yes,WBIC_YEAR,1618100_2006,-12.5822489506352,3.4324064610812e-06,3.16820723708475,230,0.985712774621109,248.92,726.44,
NO,WBIC_YEAR,1629500_1992,-16.0526385313253,1.06764695523863e-07,3.72727783215758,220,0.825399316234007,269.24,563.88,r^2< 0.85
yes,WBIC_YEAR,1630100_1999,-14.4123131170686,5.50569237278822e-07,3.47479237840382,209,0.982462560814265,322.58,815.34,
yes,WBIC_YEAR,1631900_1990,-14.2781374008309,6.29627538684381e-07,3.44480339354982,187,0.970024710359149,271.78,650.24,
yes,WBIC_YEAR,181400_1999,-14.3694011946347,5.74709469293823e-07,3.45490164714284,50,0.990579316452311,223.52,678.18,
NO,WBIC_YEAR,1835300_1991,-14.7363167309394,3.98197895270446e-07,3.48813239774717,787,0.693516815104495,213.36,767.08,r^2< 0.85
yes,WBIC_YEAR,1835300_1996,-12.7077607161902,3.02753828397546e-06,3.17779116709862,398,0.959619755127437,116.84,731.52,
NO,WBIC_YEAR,1880700_2008,-12.3642663681345,4.26842193992911e-06,3.10265846974945,24,0.88213296041535,266.7,373.38,n< 25
NO,WBIC_YEAR,1880700_2009,-14.3368617814253,5.93717760352579e-07,3.45614173580485,18,0.988883751841007,233.68,500.38,n< 25
NO,WBIC_YEAR,1880700_2010,-14.1513646050575,7.1472741474754e-07,3.40463815786419,29,0.832655979809441,233.68,447.04,r^2< 0.85
yes,WBIC_YEAR,1880700_2011,-13.2042284548409,1.84279253491287e-06,3.26123299693278,77,0.961521498781845,195.58,594.36,
yes,WBIC_YEAR,1880700_2012,-10.354198097749,3.18587624457005e-05,2.76632788194106,25,0.853331824684235,269.24,406.4,
yes,WBIC_YEAR,1880700_2013,-11.8699998157497,6.99720471038058e-06,3.02139679080902,103,0.978931046786777,119.38,502.92,
yes,WBIC_YEAR,1880700_2014,-13.4117302073913,1.4974749913081e-06,3.29861450085481,110,0.868880458460622,236.22,528.32,
yes,WBIC_YEAR,1880700_2015,-13.464949697102,1.41986367127836e-06,3.31094029095212,70,0.885112209659818,276.86,520.7,
yes,WBIC_YEAR,1881100_2009,-10.9818006921037,1.70084429665595e-05,2.90520445948716,101,0.972952216897839,256.54,675.64,
NO,WBIC_YEAR,1881900_1996,-12.5521078299624,3.53743797059651e-06,3.18916899458007,76,0.796387979155309,467.36,754.38,r^2< 0.85
yes,WBIC_YEAR,1881900_2006,-12.9518910867836,2.37172958380261e-06,3.22844099338907,237,0.870847550914253,177.038,749.3,
yes,WBIC_YEAR,2079000_2008,-13.3216359912715,1.63865300623638e-06,3.30166987315284,51,0.933941223757289,292.1,627.38,
yes,WBIC_YEAR,2079800_2011,-13.3622997556262,1.57335581864367e-06,3.29398125661105,106,0.969816858444987,337.82,746.76,
yes,WBIC_YEAR,2081200_1989,-12.8917130733753,2.51883749754517e-06,3.23196071599411,313,0.978354604711843,109.22,731.52,
yes,WBIC_YEAR,2081200_1993,-13.9501924147562,8.73993922692407e-07,3.40087183747631,211,0.976528317821692,248.92,762,
yes,WBIC_YEAR,2081200_2013,-11.6413477172074,8.79481937513486e-06,3.00715553152377,120,0.973747385265539,187.96,670.56,
NO,WBIC_YEAR,2094100_2012,-10.6613531774972,2.34332834278513e-05,2.88337830730929,6,0.990242619879939,289.56,660.4,n< 25
yes,WBIC_YEAR,2098000_2010,-13.1240685696132,1.99659252161071e-06,3.26424034400838,68,0.98887845962552,312.42,741.68,
yes,WBIC_YEAR,2100300_2009,-11.85599962103,7.09585589537716e-06,3.06067603464077,188,0.976648031621012,274.32,635,
yes,WBIC_YEAR,2100800_2005,-11.8537761598671,7.11165080855914e-06,3.0447893601821,141,0.945913375479477,284.48,713.74,
yes,WBIC_YEAR,2103200_2010,-12.3663465091183,4.25955224881787e-06,3.13640693399631,196,0.976219495814883,264.16,731.52,
yes,WBIC_YEAR,2105100_1996,-11.9728896344583,6.31306265128323e-06,3.06065248324039,309,0.980881258137654,116.84,762,
NO,WBIC_YEAR,2105100_2000,-12.0684951049323,5.73745339817922e-06,3.07252154792844,16,0.928303021830452,386.08,535.94,n< 25
yes,WBIC_YEAR,2105100_2014,-12.7783865420932,2.82109192054173e-06,3.20282721492765,182,0.979166919709241,200.66,754.38,
yes,WBIC_YEAR,2106800_1978,-12.9686450829178,2.33232465229024e-06,3.23381126999723,200,0.986138639122881,177.8,774.7,
yes,WBIC_YEAR,2106800_1994,-12.9273326065612,2.43069676641763e-06,3.22668341900922,332,0.953734475551856,287.02,762,
yes,WBIC_YEAR,2109600_2010,-12.8792116993853,2.55052407733896e-06,3.22593524395669,145,0.943704485495843,287.02,731.52,
yes,WBIC_YEAR,2109600_2016,-11.6293064474825,8.90136032426757e-06,3.01252916058604,331,0.969708307358268,149.86,718.82,
yes,WBIC_YEAR,2109800_2010,-14.0886406181334,7.60993806209178e-07,3.39138882161153,79,0.948480233257318,284.48,731.52,
yes,WBIC_YEAR,2109800_2016,-13.8602470723906,9.56249406565844e-07,3.38730713970197,86,0.939848207775989,337.82,665.48,
yes,WBIC_YEAR,2112800_2016,-12.0782715271293,5.68163492847217e-06,3.08987403173925,124,0.966965494318582,317.5,660.4,
yes,WBIC_YEAR,2113300_1997,-11.2547059753642,1.29462294372178e-05,2.96015322975312,128,0.982337168107392,139.7,728.98,
yes,WBIC_YEAR,2128100_2012,-13.1840532086076,1.88034890870079e-06,3.28002704691739,169,0.973585641198055,170.18,739.14,
yes,WBIC_YEAR,2133200_2013,-12.5952219627111,3.38816540099133e-06,3.17715125292168,217,0.956660271817293,243.84,749.3,
yes,WBIC_YEAR,2152800_1996,-12.893205408579,2.51508135108708e-06,3.21795261193479,210,0.9621072815521,213.36,688.34,
yes,WBIC_YEAR,2152800_2006,-12.9195020162601,2.44980527475033e-06,3.23409531607718,336,0.97760235995264,177.8,718.82,
yes,WBIC_YEAR,2152800_2011,-12.3773360675888,4.21299792458641e-06,3.12465218096687,554,0.917818078503398,134.62,690.88,
yes,WBIC_YEAR,2152800_2015,-12.2951134993398,4.57404099705496e-06,3.11177103353927,340,0.963810892062649,119.38,721.36,
NO,WBIC_YEAR,2169200_2012,-14.0934985123269,7.5730594369218e-07,3.39356772762286,76,0.762487948784122,452.12,698.5,r^2< 0.85
yes,WBIC_YEAR,2242500_1994,-14.0312431466315,8.05950793435606e-07,3.3964596398117,292,0.932451352647991,213.36,762,
NO,WBIC_YEAR,2242500_2000,-7.8767451274222,0.000379466162900163,2.38264636205127,14,0.726083277149447,246.38,368.3,n< 25
yes,WBIC_YEAR,2267800_1988,-13.3710847563007,1.55959442215874e-06,3.30846119691706,79,0.978697654295405,162.56,688.34,
yes,WBIC_YEAR,2267800_1991,-14.6082888434526,4.52585634837209e-07,3.49592969731409,265,0.952710844237979,231.14,693.42,
yes,WBIC_YEAR,2267800_1998,-11.6741315436505,8.51116656035904e-06,3.00498007127732,140,0.943065733534687,241.3,566.42,
yes,WBIC_YEAR,2268300_1988,-12.6306198026967,3.27032953567543e-06,3.17849077952816,240,0.967870015283693,172.72,680.72,
yes,WBIC_YEAR,2268300_1991,-13.925613537458,8.95741887500686e-07,3.39026745334292,422,0.942880332415642,129.54,744.22,
yes,WBIC_YEAR,2268300_1998,-11.7763853470382,7.68388447976394e-06,3.03098666677441,30,0.906089140221624,226.06,490.22,
yes,WBIC_YEAR,2268500_1991,-13.9765793286741,8.51233529160172e-07,3.39878186145202,227,0.968876855414252,259.08,749.3,
NO,WBIC_YEAR,2268500_1998,-11.4230821476449,1.09400285898183e-05,2.97491847135255,14,0.966653613930517,292.1,533.4,n< 25
yes,WBIC_YEAR,2268600_1991,-12.290266137071,4.59626685567439e-06,3.11903069913405,98,0.968306741230889,154.94,703.58,
NO,WBIC_YEAR,2268600_1998,-11.8619504969036,7.05375473137143e-06,3.03760142710752,8,0.959420932319572,256.54,439.42,n< 25
