"wbic_year","wbic","year","PE"
"2435700_2002",2435700,2002,2971
"2435700_2008",2435700,2008,2123
"2436400_2004",2436400,2004,42
"2436500_2004",2436500,2004,180
"2451900_1979",2451900,1979,1090
"2451900_1993",2451900,1993,1104
"2451900_1995",2451900,1995,2294
"2451900_1996",2451900,1996,2013
"2451900_1997",2451900,1997,2142
"2451900_1998",2451900,1998,911
"2451900_1999",2451900,1999,775
"2451900_2000",2451900,2000,993
"2451900_2001",2451900,2001,865
"2451900_2002",2451900,2002,702
"2451900_2003",2451900,2003,609
"2451900_2004",2451900,2004,1104
"2451900_2005",2451900,2005,987
"2451900_2006",2451900,2006,722
"2451900_2007",2451900,2007,625
"2451900_2008",2451900,2008,653
"2451900_2009",2451900,2009,719
"2451900_2010",2451900,2010,734
"2451900_2011",2451900,2011,649
"2451900_2012",2451900,2012,754
"2451900_2013",2451900,2013,1268
"2451900_2014",2451900,2014,1302
"2451900_2015",2451900,2015,909
"2451900_2016",2451900,2016,453
"2452300_1978",2452300,1978,475
"2452400_1995",2452400,1995,358
"2461100_1995",2461100,1995,996
"2461100_2000",2461100,2000,631
"2461100_2013",2461100,2013,347
"2469800_1981",2469800,1981,989
"2469800_1992",2469800,1992,227
"2469800_1995",2469800,1995,391
"2469800_2013",2469800,2013,136
"2470000_1982",2470000,1982,155
"2470000_2014",2470000,2014,27
"2481600_1994",2481600,1994,84
"2485700_2004",2485700,2004,71
"2485700_2015",2485700,2015,82
"2490500_1989",2490500,1989,704
"2490500_1995",2490500,1995,633
"2490500_2004",2490500,2004,350
"2490500_2015",2490500,2015,197
"2491100_1997",2491100,1997,100
"2492100_1994",2492100,1994,121
"2495100_1988",2495100,1988,768
"2495100_1993",2495100,1993,835
"2495100_2000",2495100,2000,697
"2495100_2006",2495100,2006,307
"2495100_2014",2495100,2014,308
"2496300_1977",2496300,1977,11610
"2496300_1991",2496300,1991,3900
"2496300_1992",2496300,1992,4128
"2496300_1994",2496300,1994,2704
"2496300_1999",2496300,1999,2092
"2496300_2009",2496300,2009,4948
"2496300_2013",2496300,2013,1490
"2496900_1989",2496900,1989,264
"2498600_1993",2498600,1993,245
"2615100_1992",2615100,1992,694
"2615100_1994",2615100,1994,643
"2615100_2004",2615100,2004,2261
"2615100_2009",2615100,2009,5838
"2615100_2013",2615100,2013,3768
"2615100_2016",2615100,2016,3485
"2618000_1987",2618000,1987,2579
"2618000_1993",2618000,1993,1507
"2618000_2007",2618000,2007,1575
"2618100_1993",2618100,1993,26
"2620600_1987",2620600,1987,3845
"2620600_1988",2620600,1988,7102
"2620600_1989",2620600,1989,7020
"2620600_1994",2620600,1994,3399
"2620600_1998",2620600,1998,3081
"2620600_2002",2620600,2002,3000
"2620600_2005",2620600,2005,1738
"2620600_2008",2620600,2008,1956
"2620600_2011",2620600,2011,1528
"2620600_2014",2620600,2014,713
"2621100_1988",2621100,1988,1033
"2621100_1991",2621100,1991,963
"2621100_1997",2621100,1997,609
"2621100_2001",2621100,2001,717
"2621100_2006",2621100,2006,318
"2621100_2012",2621100,2012,270
"2624600_1989",2624600,1989,2315
"2624600_1994",2624600,1994,1035
"2624600_2007",2624600,2007,169
"2627400_1989",2627400,1989,3782
"2627400_1991",2627400,1991,2012
"2627400_1997",2627400,1997,3796
"2627400_2007",2627400,2007,1417
"2627400_2012",2627400,2012,1090
"2630700_1980",2630700,1980,373
"2641000_1989",2641000,1989,2378
"2641000_1990",2641000,1990,1772
"2641000_1997",2641000,1997,340
"2641000_2003",2641000,2003,388
"2641000_2011",2641000,2011,1048
"2654500_1991",2654500,1991,616
"2654500_1997",2654500,1997,743
"2661100_1992",2661100,1992,332
"2661100_1993",2661100,1993,542
"2661100_1999",2661100,1999,723
"2661100_2012",2661100,2012,55
"2674100_1994",2674100,1994,40
"2675200_1986",2675200,1986,8290
"2675200_1992",2675200,1992,9222
"2675200_1996",2675200,1996,8348
"2675200_1997",2675200,1997,4725
"2675200_2008",2675200,2008,10464
"2675200_2014",2675200,2014,6987
"2676800_2009",2676800,2009,37
"2678100_1994",2678100,1994,153
"2678100_1997",2678100,1997,420
"2678100_2004",2678100,2004,245
"2678100_2007",2678100,2007,207
"2678100_2010",2678100,2010,275
"2678100_2013",2678100,2013,98
"2678100_2016",2678100,2016,111
"2691500_1984",2691500,1984,1390
"2691500_1992",2691500,1992,598
"2691500_1993",2691500,1993,538
"2691500_1998",2691500,1998,1447
"2692900_1988",2692900,1988,12797
"2692900_1989",2692900,1989,7107
"2692900_2005",2692900,2005,10954
"2693700_1988",2693700,1988,685
"2693700_2008",2693700,2008,521
"2694000_1988",2694000,1988,1617
"2694000_1991",2694000,1991,1968
"2694000_2001",2694000,2001,974
"2694000_2005",2694000,2005,880
"2694000_2009",2694000,2009,2618
"2694000_2014",2694000,2014,2512
"2695800_1992",2695800,1992,312
"2695800_2005",2695800,2005,144
"2704200_1984",2704200,1984,55316
"2704200_1992",2704200,1992,36394
"2704200_1995",2704200,1995,5150
"2704200_1996",2704200,1996,9138
"2704200_1998",2704200,1998,11925
"2704200_2002",2704200,2002,4803
"2704200_2008",2704200,2008,1411
"2704200_2014",2704200,2014,3390
"2706500_1990",2706500,1990,1110
"2706500_1999",2706500,1999,813
"2706500_2003",2706500,2003,587
"2706800_1981",2706800,1981,4381
"2706800_1987",2706800,1987,2777
"2706800_1990",2706800,1990,3880
"2706800_1996",2706800,1996,2327
"2706800_2007",2706800,2007,1096
"2706800_2012",2706800,2012,609
"2710800_1992",2710800,1992,270
"2710800_2014",2710800,2014,31
"2726100_1993",2726100,1993,621
"2726100_2002",2726100,2002,145
"2732600_1976",2732600,1976,12038
"2732600_1989",2732600,1989,19630
"2732600_1993",2732600,1993,16214
"2732600_2000",2732600,2000,14216
"2732600_2002",2732600,2002,16450
"2732600_2011",2732600,2011,12902
"2734000_2015",2734000,2015,156
"2734200_1993",2734200,1993,216
"2741600_1983",2741600,1983,3206
"2741600_1991",2741600,1991,1752
"2741600_1993",2741600,1993,3006
"2741600_1995",2741600,1995,2036
"2741600_2001",2741600,2001,3821
"2741600_2007",2741600,2007,1994
"2741600_2011",2741600,2011,1714
"2741600_2016",2741600,2016,461
"2742100_1983",2742100,1983,2518
"2742100_1991",2742100,1991,4185
"2742100_1993",2742100,1993,4577
"2742100_1996",2742100,1996,5258
"2742100_1998",2742100,1998,4099
"2742100_2004",2742100,2004,4128
"2742100_2007",2742100,2007,5925
"2742100_2010",2742100,2010,2081
"2742100_2013",2742100,2013,2169
"2742100_2016",2742100,2016,852
"2742500_1989",2742500,1989,682
"2742500_1998",2742500,1998,494
"2742500_2004",2742500,2004,432
"2742500_2007",2742500,2007,575
"2742500_2010",2742500,2010,378
"2742500_2013",2742500,2013,419
"2742500_2016",2742500,2016,231
"2742700_1983",2742700,1983,2034
"2742700_1991",2742700,1991,2383
"2742700_1993",2742700,1993,2415
"2742700_1999",2742700,1999,1688
"2742700_2004",2742700,2004,2015
"2742700_2011",2742700,2011,558
"2747300_1984",2747300,1984,2052
"2747300_1992",2747300,1992,2933
"2747300_1997",2747300,1997,2467
"2747300_2009",2747300,2009,2570
"2747300_2015",2747300,2015,1585
"2756200_1990",2756200,1990,110
"2762200_1990",2762200,1990,1136
"2762200_2003",2762200,2003,1644
"2762200_2006",2762200,2006,2486
"2762200_2013",2762200,2013,1513
"2767100_1995",2767100,1995,181
"2856400_1992",2856400,1992,1764
"2856400_1996",2856400,1996,454
"2858100_1991",2858100,1991,1188
"2858100_1999",2858100,1999,1769
"2858100_2006",2858100,2006,1239
"2858100_2014",2858100,2014,106
"2858300_1982",2858300,1982,859
"2858300_1991",2858300,1991,1115
"2865000_1986",2865000,1986,1374
"2865000_1992",2865000,1992,3115
"2865000_1994",2865000,1994,2362
"2865000_1997",2865000,1997,1609
"2865000_1998",2865000,1998,1525
"2865000_2005",2865000,2005,1149
"2865000_2014",2865000,2014,1212
"2866200_1995",2866200,1995,611
"2866200_2000",2866200,2000,762
"2882300_1995",2882300,1995,905
"2882300_1996",2882300,1996,1274
"2882300_1997",2882300,1997,1443
"2882300_1998",2882300,1998,3569
"2882300_1999",2882300,1999,1574
"2882300_2000",2882300,2000,2195
"2882300_2001",2882300,2001,2108
"2882300_2002",2882300,2002,1842
"2882300_2003",2882300,2003,964
"2882300_2004",2882300,2004,897
"2882300_2005",2882300,2005,699
"2882300_2006",2882300,2006,988
"2882300_2007",2882300,2007,818
"2882300_2008",2882300,2008,856
"2882300_2009",2882300,2009,1034
"2882300_2010",2882300,2010,583
"2882300_2011",2882300,2011,387
"2882300_2012",2882300,2012,991
"2882300_2013",2882300,2013,886
"2882300_2014",2882300,2014,1620
"2882300_2015",2882300,2015,1995
"2882300_2016",2882300,2016,991
"2897100_1990",2897100,1990,779
"2897100_1996",2897100,1996,1112
"2897100_2003",2897100,2003,595
"2897100_2006",2897100,2006,391
"2897100_2012",2897100,2012,158
"2897100_2015",2897100,2015,435
"2897300_1996",2897300,1996,185
"2897300_2003",2897300,2003,264
"2897300_2006",2897300,2006,203
"2897300_2009",2897300,2009,278
"2897300_2012",2897300,2012,59
"2899200_1987",2899200,1987,168
"2899200_1995",2899200,1995,184
"2899200_2009",2899200,2009,107
"2899400_1989",2899400,1989,155
"2899400_1998",2899400,1998,95
"2900200_1988",2900200,1988,3312
"2900200_1994",2900200,1994,2050
"2900200_1999",2900200,1999,2399
"2900200_2001",2900200,2001,2454
"2900200_2003",2900200,2003,1532
"2900200_2007",2900200,2007,1495
"2900200_2013",2900200,2013,1140
"2902700_1991",2902700,1991,4752
"2902700_2001",2902700,2001,4272
"2902700_2010",2902700,2010,1451
"2902700_2016",2902700,2016,714
"2902800_2001",2902800,2001,29
"2902800_2010",2902800,2010,9
"2902900_1985",2902900,1985,76
"2902900_1991",2902900,1991,47
"2902900_2001",2902900,2001,172
"2902900_2010",2902900,2010,54
"2903100_1985",2903100,1985,691
"2903200_1985",2903200,1985,1426
"2903700_1985",2903700,1985,1722
"2903800_1985",2903800,1985,110
"2914800_1993",2914800,1993,392
"2914800_2011",2914800,2011,187
"2916900_2006",2916900,2006,904
"2917200_2003",2917200,2003,109
"2936200_1993",2936200,1993,238
"2936200_2007",2936200,2007,386
"2942300_1993",2942300,1993,6092
"2942300_2003",2942300,2003,8787
"2949200_1990",2949200,1990,1236
"2949200_1992",2949200,1992,2196
"2949200_1998",2949200,1998,1412
"2949200_2002",2949200,2002,1555
"2949200_2005",2949200,2005,1738
"2949200_2008",2949200,2008,2752
"2949200_2011",2949200,2011,2490
"2949200_2014",2949200,2014,2064
"2953100_2000",2953100,2000,1280
"2953100_2010",2953100,2010,1913
"2953100_2016",2953100,2016,1014
"2953500_1993",2953500,1993,1825
"2953500_2000",2953500,2000,2599
"2953500_2002",2953500,2002,2602
"2953500_2012",2953500,2012,1757
"2953800_1995",2953800,1995,362
"2953800_1996",2953800,1996,308
"2953800_1997",2953800,1997,814
"2953800_1999",2953800,1999,990
"2953800_2002",2953800,2002,950
"2953800_2003",2953800,2003,304
"2953800_2007",2953800,2007,467
"2953800_2009",2953800,2009,455
"2953800_2011",2953800,2011,622
"2953800_2013",2953800,2013,1272
"2953800_2015",2953800,2015,1273
"2954500_1991",2954500,1991,892
"2954500_1992",2954500,1992,1214
"2954500_1994",2954500,1994,473
"2954500_1998",2954500,1998,595
"2954500_2010",2954500,2010,822
"2954500_2016",2954500,2016,468
"2954800_1994",2954800,1994,2320
"2954800_2008",2954800,2008,2238
"2954800_2014",2954800,2014,2646
"2958500_1989",2958500,1989,1660
"2958500_1992",2958500,1992,1318
"2958500_1997",2958500,1997,1913
"2958500_2006",2958500,2006,1220
"2958500_2013",2958500,2013,6060
"2962400_1992",2962400,1992,9978
"2962400_1995",2962400,1995,2719
"2962400_2007",2962400,2007,3385
"2962400_2009",2962400,2009,3528
"2962400_2015",2962400,2015,1985
"2962900_1992",2962900,1992,412
"2962900_2009",2962900,2009,509
"2963200_2013",2963200,2013,888
"2963800_1991",2963800,1991,11428
"2963800_1999",2963800,1999,4480
"2963800_2008",2963800,2008,10562
"2963800_2014",2963800,2014,7814
"2964000_2015",2964000,2015,2191
"2964100_1999",2964100,1999,1591
"2964100_2008",2964100,2008,4439
"2964100_2014",2964100,2014,4093
