use,type,which,n,minLen,maxLen,numLens,minAge,maxAge,numAges,ename,sname,reason
yes,WBIC_YEAR,2897100_1990,129,420,740,15,5,18,13,eALK_2897100_1990,sALK_2897100_1990,
NO,WBIC_YEAR,2897300_2012,21,360,560,10,4,13,6,eALK_2897300_2012,sALK_2897300_2012,n < 30
yes,WBIC_YEAR,2900200_1988,177,260,740,22,2,13,12,eALK_2900200_1988,sALK_2900200_1988,
yes,WBIC_YEAR,2900200_1994,205,220,700,24,2,17,15,eALK_2900200_1994,sALK_2900200_1994,
yes,WBIC_YEAR,2900200_2013,110,300,700,18,3,16,14,eALK_2900200_2013,sALK_2900200_2013,
NO,WBIC_YEAR,2902900_1991,27,260,640,12,3,17,12,eALK_2902900_1991,sALK_2902900_1991,n < 30
yes,WBIC_YEAR,2902900_2010,43,360,740,15,4,15,11,eALK_2902900_2010,sALK_2902900_2010,
yes,WBIC_YEAR,2949200_1992,125,140,700,23,1,15,14,eALK_2949200_1992,sALK_2949200_1992,
yes,WBIC_YEAR,2953500_1993,185,220,740,23,2,14,13,eALK_2953500_1993,sALK_2953500_1993,
yes,WBIC_YEAR,2954500_1994,92,200,680,18,2,11,10,eALK_2954500_1994,sALK_2954500_1994,
yes,WBIC_YEAR,2954500_2016,83,260,680,17,3,14,10,eALK_2954500_2016,sALK_2954500_2016,
yes,WBIC_YEAR,2954800_1994,150,240,740,22,3,13,11,eALK_2954800_1994,sALK_2954800_1994,
yes,WBIC_YEAR,2962900_1992,143,260,680,22,3,13,11,eALK_2962900_1992,sALK_2962900_1992,
yes,WBIC_YEAR,2963800_1991,213,200,720,27,3,17,15,eALK_2963800_1991,sALK_2963800_1991,
yes,WBIC,376900,355,200,740,27,2,12,11,eALK_376900,sALK_376900,
yes,WBIC,388500,202,300,720,22,3,13,11,eALK_388500,sALK_388500,
yes,WBIC,394400,400,260,720,24,3,18,16,eALK_394400,sALK_394400,
yes,WBIC,396500,173,300,680,18,3,12,9,eALK_396500,sALK_396500,
yes,WBIC,406900,308,240,700,23,2,13,12,eALK_406900,sALK_406900,
yes,WBIC,417400,333,180,680,24,1,17,16,eALK_417400,sALK_417400,
yes,WBIC,417900,253,180,740,26,1,14,14,eALK_417900,sALK_417900,
yes,WBIC,418700,50,380,660,15,4,14,10,eALK_418700,sALK_418700,
NO,WBIC,428100,25,240,640,9,2,6,4,eALK_428100,sALK_428100,n < 30
yes,WBIC,439800,97,320,600,14,3,15,12,eALK_439800,sALK_439800,
yes,WBIC,470600,34,400,660,11,3,9,7,eALK_470600,sALK_470600,
yes,WBIC,608400,60,160,660,16,1,17,12,eALK_608400,sALK_608400,
yes,WBIC,651600,261,140,680,26,1,17,16,eALK_651600,sALK_651600,
yes,WBIC,653700,96,280,720,23,2,13,12,eALK_653700,sALK_653700,
yes,WBIC,672300,58,340,720,18,4,19,15,eALK_672300,sALK_672300,
yes,WBIC,672900,181,180,740,25,1,17,15,eALK_672900,sALK_672900,
yes,WBIC,677100,81,340,660,15,4,18,13,eALK_677100,sALK_677100,
yes,WBIC,679300,121,420,680,14,4,15,11,eALK_679300,sALK_679300,
yes,WBIC,691800,177,240,800,28,2,19,14,eALK_691800,sALK_691800,
yes,WBIC,692400,261,240,720,22,3,13,11,eALK_692400,sALK_692400,
yes,WBIC,692900,213,100,760,30,1,13,13,eALK_692900,sALK_692900,
yes,WBIC,968800,114,240,660,20,3,13,11,eALK_968800,sALK_968800,
yes,WBIC,971600,130,320,760,23,4,18,15,eALK_971600,sALK_971600,
yes,WBIC,974200,118,160,520,18,1,9,9,eALK_974200,sALK_974200,
yes,WBIC,977500,418,200,740,27,2,15,14,eALK_977500,sALK_977500,
yes,WBIC,983500,50,500,680,10,8,13,6,eALK_983500,sALK_983500,
yes,WBIC,995000,81,220,460,10,1,6,5,eALK_995000,sALK_995000,
yes,WBIC,995200,321,240,720,25,3,17,12,eALK_995200,sALK_995200,
NO,WBIC,1005600,44,140,560,12,1,11,10,eALK_1005600,NA,Bad smoothed ALK
yes,WBIC,1019500,274,260,720,22,2,14,13,eALK_1019500,sALK_1019500,
yes,WBIC,1427400,148,160,660,24,1,8,8,eALK_1427400,sALK_1427400,
yes,WBIC,1469100,152,180,700,26,1,13,13,eALK_1469100,sALK_1469100,
yes,WBIC,1515200,110,280,700,20,2,12,10,eALK_1515200,sALK_1515200,
yes,WBIC,1519600,70,280,700,17,3,12,9,eALK_1519600,sALK_1519600,
yes,WBIC,1523600,172,220,700,23,3,13,11,eALK_1523600,sALK_1523600,
yes,WBIC,1528300,573,220,740,26,2,15,14,eALK_1528300,sALK_1528300,
yes,WBIC,1528700,161,160,660,22,1,15,13,eALK_1528700,sALK_1528700,
yes,WBIC,1542300,130,240,820,26,3,15,13,eALK_1542300,sALK_1542300,
yes,WBIC,1542400,160,220,760,28,2,15,14,eALK_1542400,sALK_1542400,
yes,WBIC,1542600,61,300,720,18,3,14,11,eALK_1542600,sALK_1542600,
yes,WBIC,1545300,195,240,700,24,3,13,11,eALK_1545300,sALK_1545300,
yes,WBIC,1545600,480,160,760,30,2,15,14,eALK_1545600,sALK_1545600,
yes,WBIC,1547700,199,140,660,26,1,15,15,eALK_1547700,sALK_1547700,
yes,WBIC,1555500,66,340,720,19,4,15,12,eALK_1555500,sALK_1555500,
yes,WBIC,1564200,170,200,680,24,2,12,11,eALK_1564200,sALK_1564200,
yes,WBIC,1579700,176,280,660,20,3,11,9,eALK_1579700,sALK_1579700,
yes,WBIC,1579900,248,180,640,24,2,11,10,eALK_1579900,sALK_1579900,
yes,WBIC,1588200,392,280,760,25,3,15,13,eALK_1588200,sALK_1588200,
yes,WBIC,1589100,137,220,680,22,3,14,12,eALK_1589100,sALK_1589100,
yes,WBIC,1589300,236,260,720,24,2,15,13,eALK_1589300,sALK_1589300,
yes,WBIC,1589600,120,300,740,20,3,13,10,eALK_1589600,sALK_1589600,
yes,WBIC,1590400,112,220,680,24,2,11,10,eALK_1590400,sALK_1590400,
yes,WBIC,1591100,275,260,780,26,3,14,12,eALK_1591100,sALK_1591100,
yes,WBIC,1592400,347,260,700,23,3,16,14,eALK_1592400,sALK_1592400,
yes,WBIC,1593100,205,200,660,24,2,15,13,eALK_1593100,sALK_1593100,
yes,WBIC,1595300,178,280,680,21,3,12,10,eALK_1595300,sALK_1595300,
yes,WBIC,1595800,163,300,780,23,4,15,12,eALK_1595800,sALK_1595800,
yes,WBIC,1596300,106,280,700,21,3,14,11,eALK_1596300,sALK_1596300,
yes,WBIC,1596900,175,240,800,27,3,14,11,eALK_1596900,sALK_1596900,
yes,WBIC,1597000,196,260,740,22,2,15,12,eALK_1597000,sALK_1597000,
yes,WBIC,1598000,188,280,700,22,3,11,9,eALK_1598000,sALK_1598000,
yes,WBIC,1598900,84,200,540,13,2,17,16,eALK_1598900,sALK_1598900,
yes,WBIC,1599600,105,220,680,20,3,12,10,eALK_1599600,sALK_1599600,
NO,WBIC,1599900,17,240,420,9,3,8,5,eALK_1599900,sALK_1599900,n < 30
NO,WBIC,1600100,12,200,600,9,2,11,7,eALK_1600100,NA,n < 30
yes,WBIC,1600200,206,180,1060,41,2,12,11,eALK_1600200,sALK_1600200,
yes,WBIC,1600300,33,280,1000,19,4,13,10,eALK_1600300,sALK_1600300,
yes,WBIC,1602300,226,240,760,27,3,20,15,eALK_1602300,sALK_1602300,
yes,WBIC,1602600,239,280,800,26,3,16,14,eALK_1602600,sALK_1602600,
yes,WBIC,1603400,85,240,1020,28,3,12,10,eALK_1603400,sALK_1603400,
yes,WBIC,1603700,268,180,720,25,2,13,12,eALK_1603700,sALK_1603700,
yes,WBIC,1603800,295,100,720,30,1,13,13,eALK_1603800,sALK_1603800,
yes,WBIC,1605800,166,260,740,22,3,14,12,eALK_1605800,sALK_1605800,
yes,WBIC,1609000,75,220,700,19,3,12,9,eALK_1609000,sALK_1609000,
yes,WBIC,1609100,184,220,660,23,3,13,11,eALK_1609100,sALK_1609100,
yes,WBIC,1610500,43,220,560,17,2,9,8,eALK_1610500,sALK_1610500,
yes,WBIC,1610600,212,220,680,24,3,13,11,eALK_1610600,sALK_1610600,
yes,WBIC,1610700,491,160,860,35,2,16,15,eALK_1610700,sALK_1610700,
yes,WBIC,1610800,69,180,720,20,1,13,13,eALK_1610800,sALK_1610800,
yes,WBIC,1611700,45,180,700,19,1,15,13,eALK_1611700,sALK_1611700,
yes,WBIC,1611800,110,180,660,24,2,12,11,eALK_1611800,sALK_1611800,
yes,WBIC,1612200,198,160,740,27,1,18,15,eALK_1612200,sALK_1612200,
yes,WBIC,1612900,173,180,740,27,2,14,13,eALK_1612900,sALK_1612900,
yes,WBIC,1613000,338,180,740,29,2,14,13,eALK_1613000,sALK_1613000,
yes,WBIC,1629500,294,240,640,18,2,13,12,eALK_1629500,sALK_1629500,
yes,WBIC,1631900,187,260,640,20,3,11,9,eALK_1631900,sALK_1631900,
yes,WBIC,1835300,290,220,760,28,3,14,12,eALK_1835300,sALK_1835300,
yes,WBIC,1881100,104,240,660,21,2,15,12,eALK_1881100,sALK_1881100,
yes,WBIC,1884100,94,220,620,18,2,10,8,eALK_1884100,sALK_1884100,
yes,WBIC,2079800,107,320,740,22,2,15,14,eALK_2079800,sALK_2079800,
yes,WBIC,2081200,659,100,780,33,1,18,18,eALK_2081200,sALK_2081200,
yes,WBIC,2098000,34,300,740,16,3,13,6,eALK_2098000,sALK_2098000,
yes,WBIC,2100300,87,260,620,14,2,11,9,eALK_2100300,sALK_2100300,
yes,WBIC,2100800,141,280,700,19,2,11,10,eALK_2100800,sALK_2100800,
yes,WBIC,2103200,106,260,720,19,2,13,9,eALK_2103200,sALK_2103200,
yes,WBIC,2105100,169,240,740,24,2,18,17,eALK_2105100,sALK_2105100,
yes,WBIC,2106800,412,160,760,31,1,19,18,eALK_2106800,sALK_2106800,
yes,WBIC,2109600,464,260,720,24,3,18,15,eALK_2109600,sALK_2109600,
yes,WBIC,2109800,128,280,720,22,3,15,12,eALK_2109800,sALK_2109800,
yes,WBIC,2112800,118,240,680,20,2,13,12,eALK_2112800,sALK_2112800,
yes,WBIC,2133200,195,240,680,22,2,12,11,eALK_2133200,sALK_2133200,
yes,WBIC,2143900,90,280,680,20,2,13,11,eALK_2143900,sALK_2143900,
yes,WBIC,2242500,188,220,760,27,3,21,16,eALK_2242500,sALK_2242500,
yes,WBIC,2267800,255,160,700,24,1,15,15,eALK_2267800,sALK_2267800,
yes,WBIC,2268300,457,160,740,27,2,14,13,eALK_2268300,sALK_2268300,
yes,WBIC,2268500,186,260,740,23,3,19,16,eALK_2268500,sALK_2268500,
yes,WBIC,2268600,45,280,700,19,3,14,11,eALK_2268600,sALK_2268600,
yes,WBIC,2272600,181,260,680,21,2,13,12,eALK_2272600,sALK_2272600,
yes,WBIC,2283300,269,200,720,26,2,18,17,eALK_2283300,sALK_2283300,
NO,WBIC,2287200,14,420,660,9,10,12,3,eALK_2287200,NA,n < 30
yes,WBIC,2288900,44,400,680,15,10,16,6,eALK_2288900,sALK_2288900,
NO,WBIC,2290500,5,560,620,2,10,13,3,eALK_2290500,NA,n < 30
yes,WBIC,2294900,1034,120,740,31,1,18,18,eALK_2294900,sALK_2294900,
yes,WBIC,2295200,373,220,700,22,2,18,16,eALK_2295200,sALK_2295200,
yes,WBIC,2303500,104,300,740,17,3,15,9,eALK_2303500,sALK_2303500,
yes,WBIC,2310200,116,140,600,24,1,12,12,eALK_2310200,sALK_2310200,
yes,WBIC,2310400,197,240,700,21,3,15,13,eALK_2310400,sALK_2310400,
yes,WBIC,2311100,91,240,720,22,3,13,10,eALK_2311100,sALK_2311100,
yes,WBIC,2311700,110,100,660,21,1,12,11,eALK_2311700,sALK_2311700,
yes,WBIC,2327500,149,220,640,21,2,11,10,eALK_2327500,sALK_2327500,
yes,WBIC,2328700,122,220,740,25,3,15,12,eALK_2328700,sALK_2328700,
NO,WBIC,2328800,9,240,620,6,3,10,5,eALK_2328800,NA,n < 30
NO,WBIC,2328900,20,220,680,15,2,12,9,eALK_2328900,NA,n < 30
yes,WBIC,2329000,169,220,680,23,2,18,13,eALK_2329000,sALK_2329000,
yes,WBIC,2329300,169,180,760,29,2,15,14,eALK_2329300,sALK_2329300,
yes,WBIC,2329400,112,200,760,26,2,15,13,eALK_2329400,sALK_2329400,
yes,WBIC,2331600,739,260,800,28,2,26,21,eALK_2331600,sALK_2331600,
yes,WBIC,2334300,41,200,620,17,2,9,8,eALK_2334300,sALK_2334300,
yes,WBIC,2334400,309,220,740,26,3,13,11,eALK_2334400,sALK_2334400,
yes,WBIC,2334700,163,240,720,24,3,12,10,eALK_2334700,sALK_2334700,
yes,WBIC,2338300,186,240,700,24,3,14,12,eALK_2338300,sALK_2338300,
yes,WBIC,2339100,155,280,760,25,4,16,13,eALK_2339100,sALK_2339100,
yes,WBIC,2340500,98,240,680,23,3,17,12,eALK_2340500,sALK_2340500,
yes,WBIC,2340700,234,240,680,23,3,13,11,eALK_2340700,sALK_2340700,
yes,WBIC,2340900,79,300,660,18,3,11,9,eALK_2340900,sALK_2340900,
yes,WBIC,2343200,124,200,660,18,2,15,13,eALK_2343200,sALK_2343200,
yes,WBIC,2344000,110,260,720,24,4,17,13,eALK_2344000,sALK_2344000,
yes,WBIC,2382300,72,260,720,18,3,16,6,eALK_2382300,sALK_2382300,
yes,WBIC,2390800,327,360,700,18,4,19,15,eALK_2390800,sALK_2390800,
yes,WBIC,2391200,696,120,720,29,1,18,17,eALK_2391200,sALK_2391200,
yes,WBIC,2392000,83,300,660,17,3,13,10,eALK_2392000,sALK_2392000,
yes,WBIC,2393200,353,300,680,20,3,15,13,eALK_2393200,sALK_2393200,
yes,WBIC,2393500,376,240,720,25,2,16,15,eALK_2393500,sALK_2393500,
NO,WBIC,2395500,26,340,700,14,4,15,8,eALK_2395500,sALK_2395500,n < 30
yes,WBIC,2395600,487,140,720,29,1,18,16,eALK_2395600,sALK_2395600,
yes,WBIC,2399700,428,200,760,28,2,19,18,eALK_2399700,sALK_2399700,
yes,WBIC,2417000,482,180,700,27,1,17,17,eALK_2417000,sALK_2417000,
yes,WBIC,2418600,319,200,700,26,1,15,15,eALK_2418600,sALK_2418600,
yes,WBIC,2435000,188,280,660,18,3,15,12,eALK_2435000,sALK_2435000,
yes,WBIC,2461100,175,160,700,25,1,17,16,eALK_2461100,sALK_2461100,
yes,WBIC,2485700,42,380,680,16,3,14,11,eALK_2485700,sALK_2485700,
yes,WBIC,2490500,97,220,700,17,2,12,9,eALK_2490500,sALK_2490500,
yes,WBIC,2492100,116,220,720,26,2,18,16,eALK_2492100,sALK_2492100,
yes,WBIC,2495100,455,120,720,26,1,18,18,eALK_2495100,sALK_2495100,
yes,WBIC,2496300,523,100,740,32,1,16,16,eALK_2496300,sALK_2496300,
yes,WBIC,2615100,662,120,700,30,1,22,16,eALK_2615100,sALK_2615100,
yes,WBIC,2620600,596,180,760,28,1,17,17,eALK_2620600,sALK_2620600,
yes,WBIC,2621100,425,160,760,28,1,24,18,eALK_2621100,sALK_2621100,
yes,WBIC,2627400,435,140,720,30,1,17,16,eALK_2627400,sALK_2627400,
yes,WBIC,2641000,309,220,720,23,2,18,16,eALK_2641000,sALK_2641000,
NO,WBIC,2654500,7,320,740,7,4,14,5,eALK_2654500,NA,n < 30
yes,WBIC,2661100,111,320,720,20,3,12,10,eALK_2661100,sALK_2661100,
yes,WBIC,2675200,144,160,640,23,1,15,14,eALK_2675200,sALK_2675200,
NO,WBIC,2676800,22,400,700,11,3,17,8,eALK_2676800,sALK_2676800,n < 30
yes,WBIC,2678100,307,180,720,28,2,16,14,eALK_2678100,sALK_2678100,
yes,WBIC,2691500,100,340,600,14,3,17,13,eALK_2691500,sALK_2691500,
yes,WBIC,2692900,57,260,680,19,2,9,8,eALK_2692900,sALK_2692900,
yes,WBIC,2694000,254,260,700,22,3,17,14,eALK_2694000,sALK_2694000,
yes,WBIC,2695800,81,340,700,17,4,16,12,eALK_2695800,sALK_2695800,
yes,WBIC,2704200,229,240,700,22,2,18,13,eALK_2704200,sALK_2704200,
yes,WBIC,2706500,170,260,640,20,3,12,10,eALK_2706500,sALK_2706500,
yes,WBIC,2706800,264,300,720,22,3,13,11,eALK_2706800,sALK_2706800,
yes,WBIC,2732600,190,320,680,17,4,16,13,eALK_2732600,sALK_2732600,
yes,WBIC,2734000,66,320,740,14,3,15,9,eALK_2734000,sALK_2734000,
yes,WBIC,2742100,405,180,660,25,1,18,17,eALK_2742100,sALK_2742100,
yes,WBIC,2742500,314,120,680,23,1,16,16,eALK_2742500,sALK_2742500,
yes,WBIC,2742700,176,300,700,21,2,18,14,eALK_2742700,sALK_2742700,
yes,WBIC,2747300,529,220,700,24,2,17,16,eALK_2747300,sALK_2747300,
yes,WBIC,2762200,165,300,740,21,3,13,11,eALK_2762200,sALK_2762200,
yes,WBIC,2865000,307,220,700,24,2,16,15,eALK_2865000,sALK_2865000,
yes,WBIC,2897100,129,420,740,15,5,18,13,eALK_2897100,sALK_2897100,
NO,WBIC,2897300,21,360,560,10,4,13,6,eALK_2897300,sALK_2897300,n < 30
yes,WBIC,2900200,492,220,740,26,2,17,16,eALK_2900200,sALK_2900200,
yes,WBIC,2902900,70,260,740,18,3,17,15,eALK_2902900,sALK_2902900,
yes,WBIC,2949200,125,140,700,23,1,15,14,eALK_2949200,sALK_2949200,
yes,WBIC,2953500,185,220,740,23,2,14,13,eALK_2953500,sALK_2953500,
yes,WBIC,2954500,175,200,680,23,2,14,12,eALK_2954500,sALK_2954500,
yes,WBIC,2954800,150,240,740,22,3,13,11,eALK_2954800,sALK_2954800,
yes,WBIC,2962900,143,260,680,22,3,13,11,eALK_2962900,sALK_2962900,
yes,WBIC,2963800,213,200,720,27,3,17,15,eALK_2963800,sALK_2963800,
yes,CLASS,CCC,4564,160,740,30,1,18,18,eALK_CCC,sALK_CCC,
yes,CLASS,CCD,12707,100,1060,47,1,21,20,eALK_CCD,sALK_CCD,
yes,CLASS,C2S,15507,100,860,39,1,26,22,eALK_C2S,sALK_C2S,
yes,CLASS,CWC,2640,100,760,34,1,24,20,eALK_CWC,sALK_CWC,
yes,CLASS,SIM,34,400,660,11,3,9,7,eALK_SIM,sALK_SIM,
yes,CLASS,CWD,2724,120,1020,37,1,22,19,eALK_CWD,sALK_CWD,
yes,CLASS,CR,401,200,680,25,2,16,14,eALK_CR,sALK_CR,
yes,ALL,ALL,38673,100,1060,48,1,26,24,eALK_ALL,sALK_ALL,
