use,type,which,n,minLen,maxLen,numLens,minAge,maxAge,numAges,ename,sname,reason
yes,WBIC_YEAR,1592400_1990,201,260,700,23,3,13,11,eALK_1592400_1990,sALK_1592400_1990,
yes,WBIC_YEAR,1592400_2015,146,280,700,22,3,16,14,eALK_1592400_2015,sALK_1592400_2015,
yes,WBIC_YEAR,1593100_1993,205,200,660,24,2,15,13,eALK_1593100_1993,sALK_1593100_1993,
yes,WBIC_YEAR,1595300_1990,178,280,680,21,3,12,10,eALK_1595300_1990,sALK_1595300_1990,
yes,WBIC_YEAR,1595800_1988,163,300,780,23,4,15,12,eALK_1595800_1988,sALK_1595800_1988,
yes,WBIC_YEAR,1596300_1992,106,280,700,21,3,14,11,eALK_1596300_1992,sALK_1596300_1992,
yes,WBIC_YEAR,1596900_1990,175,240,800,27,3,14,11,eALK_1596900_1990,sALK_1596900_1990,
yes,WBIC_YEAR,1597000_1990,196,260,740,22,2,15,12,eALK_1597000_1990,sALK_1597000_1990,
yes,WBIC_YEAR,1598000_1990,188,280,700,22,3,11,9,eALK_1598000_1990,sALK_1598000_1990,
yes,WBIC_YEAR,1598900_2004,84,200,540,13,2,17,16,eALK_1598900_2004,sALK_1598900_2004,
yes,WBIC_YEAR,1599600_1993,105,220,680,20,3,12,10,eALK_1599600_1993,sALK_1599600_1993,
NO,WBIC_YEAR,1599900_1993,17,240,420,9,3,8,5,eALK_1599900_1993,sALK_1599900_1993,n < 30
NO,WBIC_YEAR,1600100_1993,12,200,600,9,2,11,7,eALK_1600100_1993,NA,n < 30
yes,WBIC_YEAR,1600200_1993,206,180,1060,41,2,12,11,eALK_1600200_1993,sALK_1600200_1993,
yes,WBIC_YEAR,1600300_1993,33,280,1000,19,4,13,10,eALK_1600300_1993,sALK_1600300_1993,
yes,WBIC_YEAR,1602300_1991,226,240,760,27,3,20,15,eALK_1602300_1991,sALK_1602300_1991,
yes,WBIC_YEAR,1602600_1994,239,280,800,26,3,16,14,eALK_1602600_1994,sALK_1602600_1994,
yes,WBIC_YEAR,1603400_1993,85,240,1020,28,3,12,10,eALK_1603400_1993,sALK_1603400_1993,
yes,WBIC_YEAR,1603700_1993,268,180,720,25,2,13,12,eALK_1603700_1993,sALK_1603700_1993,
yes,WBIC_YEAR,1603800_1993,295,100,720,30,1,13,13,eALK_1603800_1993,sALK_1603800_1993,
yes,WBIC_YEAR,1605800_1992,166,260,740,22,3,14,12,eALK_1605800_1992,sALK_1605800_1992,
yes,WBIC_YEAR,1609000_1994,75,220,700,19,3,12,9,eALK_1609000_1994,sALK_1609000_1994,
yes,WBIC_YEAR,1609100_1994,184,220,660,23,3,13,11,eALK_1609100_1994,sALK_1609100_1994,
yes,WBIC_YEAR,1610500_1994,43,220,560,17,2,9,8,eALK_1610500_1994,sALK_1610500_1994,
yes,WBIC_YEAR,1610600_1994,188,220,680,22,3,13,11,eALK_1610600_1994,sALK_1610600_1994,
NO,WBIC_YEAR,1610600_2007,24,220,660,15,3,13,10,eALK_1610600_2007,sALK_1610600_2007,n < 30
yes,WBIC_YEAR,1610700_1994,265,160,860,35,2,14,13,eALK_1610700_1994,sALK_1610700_1994,
yes,WBIC_YEAR,1610700_2007,226,200,720,27,2,16,15,eALK_1610700_2007,sALK_1610700_2007,
NO,WBIC_YEAR,1610800_1994,26,220,720,15,3,13,8,eALK_1610800_1994,sALK_1610800_1994,n < 30
NO,WBIC_YEAR,1610800_2007,43,180,620,18,1,12,12,eALK_1610800_2007,NA,Bad smoothed ALK
yes,WBIC_YEAR,1611700_2007,45,180,700,19,1,15,13,eALK_1611700_2007,sALK_1611700_2007,
yes,WBIC_YEAR,1611800_1994,110,180,660,24,2,12,11,eALK_1611800_1994,sALK_1611800_1994,
yes,WBIC_YEAR,1612200_1994,168,160,740,26,1,12,11,eALK_1612200_1994,sALK_1612200_1994,
yes,WBIC_YEAR,1612200_2007,30,180,660,14,2,18,10,eALK_1612200_2007,sALK_1612200_2007,
yes,WBIC_YEAR,1612900_1994,173,180,740,27,2,14,13,eALK_1612900_1994,sALK_1612900_1994,
yes,WBIC_YEAR,1613000_1994,338,180,740,29,2,14,13,eALK_1613000_1994,sALK_1613000_1994,
yes,WBIC_YEAR,1629500_1992,125,260,520,14,2,9,8,eALK_1629500_1992,sALK_1629500_1992,
yes,WBIC_YEAR,1629500_2016,169,240,640,18,2,13,12,eALK_1629500_2016,sALK_1629500_2016,
yes,WBIC_YEAR,1631900_1990,187,260,640,20,3,11,9,eALK_1631900_1990,sALK_1631900_1990,
yes,WBIC_YEAR,1835300_1991,149,240,760,25,3,13,11,eALK_1835300_1991,sALK_1835300_1991,
yes,WBIC_YEAR,1835300_2016,141,220,720,20,3,14,12,eALK_1835300_2016,sALK_1835300_2016,
yes,WBIC_YEAR,1881100_2009,104,240,660,21,2,15,12,eALK_1881100_2009,sALK_1881100_2009,
yes,WBIC_YEAR,1884100_2010,94,220,620,18,2,10,8,eALK_1884100_2010,sALK_1884100_2010,
yes,WBIC_YEAR,2079800_2011,107,320,740,22,2,15,14,eALK_2079800_2011,sALK_2079800_2011,
yes,WBIC_YEAR,2081200_1989,346,100,780,31,1,15,15,eALK_2081200_1989,sALK_2081200_1989,
yes,WBIC_YEAR,2081200_1993,216,240,760,26,2,18,17,eALK_2081200_1993,sALK_2081200_1993,
yes,WBIC_YEAR,2081200_2013,97,220,660,21,1,10,9,eALK_2081200_2013,sALK_2081200_2013,
yes,WBIC_YEAR,2098000_2010,34,300,740,16,3,13,6,eALK_2098000_2010,sALK_2098000_2010,
yes,WBIC_YEAR,2100300_2009,87,260,620,14,2,11,9,eALK_2100300_2009,sALK_2100300_2009,
yes,WBIC_YEAR,2100800_2005,141,280,700,19,2,11,10,eALK_2100800_2005,sALK_2100800_2005,
yes,WBIC_YEAR,2103200_2010,106,260,720,19,2,13,9,eALK_2103200_2010,sALK_2103200_2010,
yes,WBIC_YEAR,2105100_2014,169,240,740,24,2,18,17,eALK_2105100_2014,sALK_2105100_2014,
yes,WBIC_YEAR,2106800_1978,190,160,760,31,1,9,9,eALK_2106800_1978,sALK_2106800_1978,
yes,WBIC_YEAR,2106800_1994,222,280,760,25,2,19,17,eALK_2106800_1994,sALK_2106800_1994,
yes,WBIC_YEAR,2109600_2010,147,280,720,19,3,18,14,eALK_2109600_2010,sALK_2109600_2010,
yes,WBIC_YEAR,2109600_2016,317,260,700,23,3,17,14,eALK_2109600_2016,sALK_2109600_2016,
yes,WBIC_YEAR,2109800_2010,40,280,720,16,3,15,11,eALK_2109800_2010,sALK_2109800_2010,
yes,WBIC_YEAR,2109800_2016,88,320,660,17,4,13,9,eALK_2109800_2016,sALK_2109800_2016,
NO,WBIC_YEAR,2112800_2005,3,240,300,3,2,3,2,eALK_2112800_2005,NA,n < 30
